facet_id,facet_name,raw_name,category,description,positive_indicators,negative_indicators,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,synonyms,related_facets,examples,keywords,retrieval_text
leadership_styles_and_behaviors,Leadership Styles And Behaviors,Leadership Styles and Behaviors:,social,"Leadership Styles And Behaviors (also: leadershipness, leadershipity, leadershiping, interpersonal behaviour) is a social facet that captures the degree to which a conversational turn exhibits 'leadership styles and behaviors'. Context: Interpersonal style: leadership, collaboration, cooperation, conflict, assertiveness, communication, influence. A high score on Leadership Styles And Behaviors indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates leadership styles and behaviors in their response"", ""The turn contains strong evidence of leadership styles and behaviors"", ""The speaker's language consistently reflects leadership styles and behaviors""]","[""Absence of any signal related to leadership styles and behaviors"", ""The turn contradicts or undermines leadership styles and behaviors"", ""No social indicator for leadership styles and behaviors is present""]",Absent — no interpersonal signal related to leadership styles and behaviors.,Weak or indirect signal of leadership styles and behaviors in the interaction.,Neutral — some social signal but leadership styles and behaviors is not the dominant pattern.,Present — leadership styles and behaviors is clearly demonstrated in this turn.,Strongly and consistently demonstrated; leadership styles and behaviors is the defining feature.,"[""leadershipness"", ""leadershipity"", ""leadershiping"", ""interpersonal behaviour"", ""social skill"", ""relational dynamic""]","[""Assertiveness"", ""Democratic Leadership"", ""Empathy""]","[""A speaker says something that clearly reflects leadership styles and behaviors."", ""The conversation turn is dominated by leadership styles and behaviors.""]","[""leadership"", ""styles"", ""and"", ""behaviors"", ""leadershipness"", ""leadershipity"", ""leadershiping"", ""interpersonal"", ""behaviour"", ""social"", ""skill"", ""relational"", ""dynamic"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""assertiveness""]",
i_ching_hexagram_5_resonance_level,I Ching Hexagram 5 Resonance Level,723. I Ching hexagram 5 resonance level,clinical_health,"I Ching Hexagram 5 Resonance Level (also: chingness, chingity, chinging, clinical marker) is a clinical health facet that captures the degree to which a conversational turn exhibits 'i ching hexagram 5 resonance level'. Context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. A high score on I Ching Hexagram 5 Resonance Level indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates i ching hexagram 5 resonance level in their response"", ""The turn contains strong evidence of i ching hexagram 5 resonance level"", ""The speaker's language consistently reflects i ching hexagram 5 resonance level""]","[""Absence of any signal related to i ching hexagram 5 resonance level"", ""The turn contradicts or undermines i ching hexagram 5 resonance level"", ""No clinical health indicator for i ching hexagram 5 resonance level is present""]",No clinical signal related to i ching hexagram 5 resonance level.,Faint or indirect signal of i ching hexagram 5 resonance level.,Possible — ambiguous; clinical follow-up would be needed.,Likely — strong textual signal of i ching hexagram 5 resonance level; clinically notable.,"Definitive — unambiguous, quantified, or severe expression of i ching hexagram 5 resonance level.","[""chingness"", ""chingity"", ""chinging"", ""clinical marker"", ""health indicator"", ""physiological signal""]","[""Moroseness"", ""Anxiety"", ""Compulsive Activities""]","[""A speaker says something that clearly reflects i ching hexagram 5 resonance level."", ""The conversation turn is dominated by i ching hexagram 5 resonance level.""]","[""ching"", ""hexagram"", ""resonance"", ""level"", ""chingness"", ""chingity"", ""chinging"", ""clinical"", ""marker"", ""health"", ""indicator"", ""physiological"", ""signal"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""moroseness""]",
macronutrient_ratio_carbs,Macronutrient Ratio: Carbs,Macronutrient ratio: carbs,social,"Macronutrient Ratio: Carbs (also: macronutrientness, macronutrientity, macronutrienting, interpersonal behaviour) is a social facet that captures the degree to which a conversational turn exhibits 'macronutrient ratio: carbs'. Context: Interpersonal style: leadership, collaboration, cooperation, conflict, assertiveness, communication, influence. A high score on Macronutrient Ratio: Carbs indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates macronutrient ratio: carbs in their response"", ""The turn contains strong evidence of macronutrient ratio: carbs"", ""The speaker's language consistently reflects macronutrient ratio: carbs""]","[""Absence of any signal related to macronutrient ratio: carbs"", ""The turn contradicts or undermines macronutrient ratio: carbs"", ""No social indicator for macronutrient ratio: carbs is present""]",Absent — no interpersonal signal related to macronutrient ratio: carbs.,Weak or indirect signal of macronutrient ratio: carbs in the interaction.,Neutral — some social signal but macronutrient ratio: carbs is not the dominant pattern.,Present — macronutrient ratio: carbs is clearly demonstrated in this turn.,Strongly and consistently demonstrated; macronutrient ratio: carbs is the defining feature.,"[""macronutrientness"", ""macronutrientity"", ""macronutrienting"", ""interpersonal behaviour"", ""social skill"", ""relational dynamic""]","[""Assertiveness"", ""Democratic Leadership"", ""Empathy""]","[""A speaker says something that clearly reflects macronutrient ratio: carbs."", ""The conversation turn is dominated by macronutrient ratio: carbs.""]","[""macronutrient"", ""ratio"", ""carbs"", ""macronutrientness"", ""macronutrientity"", ""macronutrienting"", ""interpersonal"", ""behaviour"", ""social"", ""skill"", ""relational"", ""dynamic"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""assertiveness"", ""democratic""]",
passport_stamps_count,Passport-Stamps Count,Passport-stamps count,behavioral_lifestyle,"Passport-Stamps Count (also: passportstampsness, passportstampsity, passportstampsing, lifestyle habit) is a behavioral lifestyle facet that captures the degree to which a conversational turn exhibits 'passport-stamps count'. Context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. A high score on Passport-Stamps Count indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates passport-stamps count in their response"", ""The turn contains strong evidence of passport-stamps count"", ""The speaker's language consistently reflects passport-stamps count""]","[""Absence of any signal related to passport-stamps count"", ""The turn contradicts or undermines passport-stamps count"", ""No behavioral lifestyle indicator for passport-stamps count is present""]",None / never — no mention or explicit denial of passport-stamps count.,Rare — mentioned as occasional or infrequent.,Moderate — average / typical frequency of passport-stamps count.,Frequent — clear pattern; passport-stamps count is a regular part of life.,Central — passport-stamps count is described as a defining lifestyle feature.,"[""passportstampsness"", ""passportstampsity"", ""passportstampsing"", ""lifestyle habit"", ""routine behaviour"", ""daily pattern""]","[""Adventure Seeking"", ""Risk Taking""]","[""A speaker says something that clearly reflects passport-stamps count."", ""The conversation turn is dominated by passport-stamps count.""]","[""passport"", ""stamps"", ""count"", ""passportstampsness"", ""passportstampsity"", ""passportstampsing"", ""lifestyle"", ""habit"", ""routine"", ""behaviour"", ""daily"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""adventure"", ""seeking""]",
local_food_sourcing,Local-Food Sourcing %,Local-food sourcing %,cognitive,"Local-Food Sourcing % (also: localfoodness, localfoodity, localfooding, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'local-food sourcing %'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Local-Food Sourcing % indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates local-food sourcing % in their response"", ""The turn contains strong evidence of local-food sourcing %"", ""The speaker's language consistently reflects local-food sourcing %""]","[""Absence of any signal related to local-food sourcing %"", ""The turn contradicts or undermines local-food sourcing %"", ""No cognitive indicator for local-food sourcing % is present""]",No application of local-food sourcing %; reasoning absent or clearly wrong.,Superficial or partial application of local-food sourcing %.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of local-food sourcing % with depth.","Expert — sophisticated, fully-correct demonstration of local-food sourcing %.","[""localfoodness"", ""localfoodity"", ""localfooding"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects local-food sourcing %."", ""The conversation turn is dominated by local-food sourcing %.""]","[""local"", ""food"", ""sourcing"", ""localfoodness"", ""localfoodity"", ""localfooding"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""common""]",
patient_care_orientation,Patient Care Orientation,Patient care orientation,other,"Patient Care Orientation (also: patientness, patientity, patienting, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'patient care orientation'. Context: Catch-all for facets that do not fit any profile. A high score on Patient Care Orientation indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates patient care orientation in their response"", ""The turn contains strong evidence of patient care orientation"", ""The speaker's language consistently reflects patient care orientation""]","[""Absence of any signal related to patient care orientation"", ""The turn contradicts or undermines patient care orientation"", ""No other indicator for patient care orientation is present""]",Strongly absent — turn actively contradicts or shows the opposite of patient care orientation.,Mostly absent — only weak or indirect signals of patient care orientation.,Neutral / mixed — evidence is ambiguous or patient care orientation is not clearly applicable.,"Mostly present — turn clearly displays patient care orientation, though not in extreme form.","Strongly present — patient care orientation is pronounced, unambiguous, and central to the message.","[""patientness"", ""patientity"", ""patienting"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects patient care orientation."", ""The conversation turn is dominated by patient care orientation.""]","[""patient"", ""care"", ""orientation"", ""patientness"", ""patientity"", ""patienting"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
soft_skill_training_hours,Soft-Skill Training Hours,Soft-skill training hours,behavioral_lifestyle,"Soft-Skill Training Hours (also: softskillness, softskillity, softskilling, lifestyle habit) is a behavioral lifestyle facet that captures the degree to which a conversational turn exhibits 'soft-skill training hours'. Context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. A high score on Soft-Skill Training Hours indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates soft-skill training hours in their response"", ""The turn contains strong evidence of soft-skill training hours"", ""The speaker's language consistently reflects soft-skill training hours""]","[""Absence of any signal related to soft-skill training hours"", ""The turn contradicts or undermines soft-skill training hours"", ""No behavioral lifestyle indicator for soft-skill training hours is present""]",None / never — no mention or explicit denial of soft-skill training hours.,Rare — mentioned as occasional or infrequent.,Moderate — average / typical frequency of soft-skill training hours.,Frequent — clear pattern; soft-skill training hours is a regular part of life.,Central — soft-skill training hours is described as a defining lifestyle feature.,"[""softskillness"", ""softskillity"", ""softskilling"", ""lifestyle habit"", ""routine behaviour"", ""daily pattern""]","[""Adventure Seeking"", ""Risk Taking""]","[""A speaker says something that clearly reflects soft-skill training hours."", ""The conversation turn is dominated by soft-skill training hours.""]","[""soft"", ""skill"", ""training"", ""hours"", ""softskillness"", ""softskillity"", ""softskilling"", ""lifestyle"", ""habit"", ""routine"", ""behaviour"", ""daily"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""adventure""]",
graffiti_appreciation,Graffiti Appreciation,Graffiti appreciation,other,"Graffiti Appreciation (also: graffitiness, graffitiity, graffitiing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'graffiti appreciation'. Context: Catch-all for facets that do not fit any profile. A high score on Graffiti Appreciation indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates graffiti appreciation in their response"", ""The turn contains strong evidence of graffiti appreciation"", ""The speaker's language consistently reflects graffiti appreciation""]","[""Absence of any signal related to graffiti appreciation"", ""The turn contradicts or undermines graffiti appreciation"", ""No other indicator for graffiti appreciation is present""]",Strongly absent — turn actively contradicts or shows the opposite of graffiti appreciation.,Mostly absent — only weak or indirect signals of graffiti appreciation.,Neutral / mixed — evidence is ambiguous or graffiti appreciation is not clearly applicable.,"Mostly present — turn clearly displays graffiti appreciation, though not in extreme form.","Strongly present — graffiti appreciation is pronounced, unambiguous, and central to the message.","[""graffitiness"", ""graffitiity"", ""graffitiing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects graffiti appreciation."", ""The conversation turn is dominated by graffiti appreciation.""]","[""graffiti"", ""appreciation"", ""graffitiness"", ""graffitiity"", ""graffitiing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
preference_for_home_cooked_vs_restaurant_meals,Preference For Home-Cooked Vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,other,"Preference For Home-Cooked Vs Restaurant Meals (also: preferenceness, preferenceity, preferenceing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'preference for home-cooked vs restaurant meals'. Context: Catch-all for facets that do not fit any profile. A high score on Preference For Home-Cooked Vs Restaurant Meals indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates preference for home-cooked vs restaurant meals in their response"", ""The turn contains strong evidence of preference for home-cooked vs restaurant meals"", ""The speaker's language consistently reflects preference for home-cooked vs restaurant meals""]","[""Absence of any signal related to preference for home-cooked vs restaurant meals"", ""The turn contradicts or undermines preference for home-cooked vs restaurant meals"", ""No other indicator for preference for home-cooked vs restaurant meals is present""]",Strongly absent — turn actively contradicts or shows the opposite of preference for home-cooked vs restaurant meals.,Mostly absent — only weak or indirect signals of preference for home-cooked vs restaurant meals.,Neutral / mixed — evidence is ambiguous or preference for home-cooked vs restaurant meals is not clearly applicable.,"Mostly present — turn clearly displays preference for home-cooked vs restaurant meals, though not in extreme form.","Strongly present — preference for home-cooked vs restaurant meals is pronounced, unambiguous, and central to the message.","[""preferenceness"", ""preferenceity"", ""preferenceing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects preference for home-cooked vs restaurant meals."", ""The conversation turn is dominated by preference for home-cooked vs restaurant meals.""]","[""preference"", ""for"", ""home"", ""cooked"", ""restaurant"", ""meals"", ""preferenceness"", ""preferenceity"", ""preferenceing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
immune_response_age,Immune-Response Age,Immune-response age,other,"Immune-Response Age (also: immuneresponseness, immuneresponseity, immuneresponseing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'immune-response age'. Context: Catch-all for facets that do not fit any profile. A high score on Immune-Response Age indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates immune-response age in their response"", ""The turn contains strong evidence of immune-response age"", ""The speaker's language consistently reflects immune-response age""]","[""Absence of any signal related to immune-response age"", ""The turn contradicts or undermines immune-response age"", ""No other indicator for immune-response age is present""]",Strongly absent — turn actively contradicts or shows the opposite of immune-response age.,Mostly absent — only weak or indirect signals of immune-response age.,Neutral / mixed — evidence is ambiguous or immune-response age is not clearly applicable.,"Mostly present — turn clearly displays immune-response age, though not in extreme form.","Strongly present — immune-response age is pronounced, unambiguous, and central to the message.","[""immuneresponseness"", ""immuneresponseity"", ""immuneresponseing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects immune-response age."", ""The conversation turn is dominated by immune-response age.""]","[""immune"", ""response"", ""age"", ""immuneresponseness"", ""immuneresponseity"", ""immuneresponseing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
social_cognition_variable_cognitive_empathy,Social-Cognition Variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,emotion,"Social-Cognition Variable: Cognitive Empathy (also: compassion, perspective-taking, emotional attunement, understanding others) is a emotion facet that captures the degree to which a conversational turn exhibits 'social-cognition variable: cognitive empathy'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Social-Cognition Variable: Cognitive Empathy indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""accurately reflected the other person's emotional state"", ""acknowledged feelings before offering solutions"", ""said 'I understand how that must feel'""]","[""dismissed emotions as irrational"", ""immediately jumped to advice without acknowledging feelings"", ""showed irritation at the other person's emotional response""]",Opposite affect — turn expresses the emotional antithesis of social-cognition variable: cognitive empathy.,Minimal emotional signal toward social-cognition variable: cognitive empathy; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to social-cognition variable: cognitive empathy.",Moderate — clear emotional expression aligned with social-cognition variable: cognitive empathy.,Intense — social-cognition variable: cognitive empathy dominates the turn; highly expressive and unambiguous.,"[""compassion"", ""perspective-taking"", ""emotional attunement"", ""understanding others"", ""sensitivity to others"", ""socialcognitionness"", ""socialcognitionity"", ""socialcognitioning""]","[""compassion"", ""warmth"", ""kindness"", ""compassion fatigue""]","[""I could tell she was overwhelmed, so I just sat with her."", ""He said: 'That sounds incredibly hard \u2014 I'm sorry you're going through this.'"", ""Before giving feedback, she acknowledged how much effort I'd put in.""]","[""social"", ""cognition"", ""variable"", ""cognitive"", ""empathy"", ""compassion"", ""perspective-taking"", ""emotional"", ""attunement"", ""understanding"", ""others"", ""sensitivity"", ""socialcognitionness"", ""socialcognitionity"", ""socialcognitioning"", ""accurately"", ""reflected"", ""acknowledged"", ""feelings"", ""said""]",
kink_interest_diversity,Kink-Interest Diversity,Kink-interest diversity,personality,"Kink-Interest Diversity (also: kinkinterestness, kinkinterestity, kinkinteresting, trait) is a personality facet that captures the degree to which a conversational turn exhibits 'kink-interest diversity'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Kink-Interest Diversity indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates kink-interest diversity in their response"", ""The turn contains strong evidence of kink-interest diversity"", ""The speaker's language consistently reflects kink-interest diversity""]","[""Absence of any signal related to kink-interest diversity"", ""The turn contradicts or undermines kink-interest diversity"", ""No personality indicator for kink-interest diversity is present""]",Strong opposite tendency — behaviour is antithetical to kink-interest diversity.,Weak or incidental signal; kink-interest diversity is mostly absent.,Mixed — some evidence of kink-interest diversity but also contradictory signals.,Clearly present — turn shows consistent evidence of kink-interest diversity.,"Strongly exemplifies kink-interest diversity; central, pronounced, unmistakable.","[""kinkinterestness"", ""kinkinterestity"", ""kinkinteresting"", ""trait"", ""disposition"", ""character quality""]","[""Integrity"", ""Courage"", ""Honesty"", ""Assertiveness""]","[""A speaker says something that clearly reflects kink-interest diversity."", ""The conversation turn is dominated by kink-interest diversity.""]","[""kink"", ""interest"", ""diversity"", ""kinkinterestness"", ""kinkinterestity"", ""kinkinteresting"", ""trait"", ""disposition"", ""character"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""integrity"", ""courage"", ""honesty"", ""assertiveness""]",
adaptability_and_flexibility,Adaptability And Flexibility,Adaptability and Flexibility:,other,"Adaptability And Flexibility (also: adaptabilityness, adaptabilityity, adaptabilitying, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'adaptability and flexibility'. Context: Catch-all for facets that do not fit any profile. A high score on Adaptability And Flexibility indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates adaptability and flexibility in their response"", ""The turn contains strong evidence of adaptability and flexibility"", ""The speaker's language consistently reflects adaptability and flexibility""]","[""Absence of any signal related to adaptability and flexibility"", ""The turn contradicts or undermines adaptability and flexibility"", ""No other indicator for adaptability and flexibility is present""]",Strongly absent — turn actively contradicts or shows the opposite of adaptability and flexibility.,Mostly absent — only weak or indirect signals of adaptability and flexibility.,Neutral / mixed — evidence is ambiguous or adaptability and flexibility is not clearly applicable.,"Mostly present — turn clearly displays adaptability and flexibility, though not in extreme form.","Strongly present — adaptability and flexibility is pronounced, unambiguous, and central to the message.","[""adaptabilityness"", ""adaptabilityity"", ""adaptabilitying"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects adaptability and flexibility."", ""The conversation turn is dominated by adaptability and flexibility.""]","[""adaptability"", ""and"", ""flexibility"", ""adaptabilityness"", ""adaptabilityity"", ""adaptabilitying"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
judging_consequences,Judging Consequences,Judging Consequences,behavioral_lifestyle,"Judging Consequences (also: judgingness, judgingity, judginging, lifestyle habit) is a behavioral lifestyle facet that captures the degree to which a conversational turn exhibits 'judging consequences'. Context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. A high score on Judging Consequences indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates judging consequences in their response"", ""The turn contains strong evidence of judging consequences"", ""The speaker's language consistently reflects judging consequences""]","[""Absence of any signal related to judging consequences"", ""The turn contradicts or undermines judging consequences"", ""No behavioral lifestyle indicator for judging consequences is present""]",None / never — no mention or explicit denial of judging consequences.,Rare — mentioned as occasional or infrequent.,Moderate — average / typical frequency of judging consequences.,Frequent — clear pattern; judging consequences is a regular part of life.,Central — judging consequences is described as a defining lifestyle feature.,"[""judgingness"", ""judgingity"", ""judginging"", ""lifestyle habit"", ""routine behaviour"", ""daily pattern""]","[""Adventure Seeking"", ""Risk Taking""]","[""A speaker says something that clearly reflects judging consequences."", ""The conversation turn is dominated by judging consequences.""]","[""judging"", ""consequences"", ""judgingness"", ""judgingity"", ""judginging"", ""lifestyle"", ""habit"", ""routine"", ""behaviour"", ""daily"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""adventure"", ""seeking"", ""risk""]",
harmfulness,Harmfulness,Harmfulness,safety,"Harmfulness (also: harmfulnessness, harmfulnessity, harmfulnessing, risk signal) is a safety facet that captures the degree to which a conversational turn exhibits 'harmfulness'. Context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns present in a conversational turn. A high score on Harmfulness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates harmfulness in their response"", ""The turn contains strong evidence of harmfulness"", ""The speaker's language consistently reflects harmfulness""]","[""Absence of any signal related to harmfulness"", ""The turn contradicts or undermines harmfulness"", ""No safety indicator for harmfulness is present""]",Safe — no safety concern related to harmfulness.,Minor / borderline indication of harmfulness; not actionable alone.,Ambiguous — could be read as harmfulness depending on context.,Notable concern — clear instance of harmfulness; warrants review.,Severe — egregious instance of harmfulness; immediate action warranted.,"[""harmfulnessness"", ""harmfulnessity"", ""harmfulnessing"", ""risk signal"", ""harm indicator"", ""safety concern""]","[""Manipulation"", ""Deception"", ""Hostility""]","[""A speaker says something that clearly reflects harmfulness."", ""The conversation turn is dominated by harmfulness.""]","[""harmfulness"", ""harmfulnessness"", ""harmfulnessity"", ""harmfulnessing"", ""risk"", ""signal"", ""harm"", ""indicator"", ""safety"", ""concern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""manipulation"", ""deception"", ""hostility""]",
affinity,Affinity,Affinity,other,"Affinity (also: affinityness, affinityity, affinitying, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'affinity'. Context: Catch-all for facets that do not fit any profile. A high score on Affinity indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates affinity in their response"", ""The turn contains strong evidence of affinity"", ""The speaker's language consistently reflects affinity""]","[""Absence of any signal related to affinity"", ""The turn contradicts or undermines affinity"", ""No other indicator for affinity is present""]",Strongly absent — turn actively contradicts or shows the opposite of affinity.,Mostly absent — only weak or indirect signals of affinity.,Neutral / mixed — evidence is ambiguous or affinity is not clearly applicable.,"Mostly present — turn clearly displays affinity, though not in extreme form.","Strongly present — affinity is pronounced, unambiguous, and central to the message.","[""affinityness"", ""affinityity"", ""affinitying"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects affinity."", ""The conversation turn is dominated by affinity.""]","[""affinity"", ""affinityness"", ""affinityity"", ""affinitying"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
abasement,Abasement,Abasement,other,"Abasement (also: abasementness, abasementity, abasementing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'abasement'. Context: Catch-all for facets that do not fit any profile. A high score on Abasement indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates abasement in their response"", ""The turn contains strong evidence of abasement"", ""The speaker's language consistently reflects abasement""]","[""Absence of any signal related to abasement"", ""The turn contradicts or undermines abasement"", ""No other indicator for abasement is present""]",Strongly absent — turn actively contradicts or shows the opposite of abasement.,Mostly absent — only weak or indirect signals of abasement.,Neutral / mixed — evidence is ambiguous or abasement is not clearly applicable.,"Mostly present — turn clearly displays abasement, though not in extreme form.","Strongly present — abasement is pronounced, unambiguous, and central to the message.","[""abasementness"", ""abasementity"", ""abasementing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects abasement."", ""The conversation turn is dominated by abasement.""]","[""abasement"", ""abasementness"", ""abasementity"", ""abasementing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
chronic_pain_presence,Chronic Pain Presence,Chronic pain presence,other,"Chronic Pain Presence (also: chronicness, chronicity, chronicing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'chronic pain presence'. Context: Catch-all for facets that do not fit any profile. A high score on Chronic Pain Presence indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates chronic pain presence in their response"", ""The turn contains strong evidence of chronic pain presence"", ""The speaker's language consistently reflects chronic pain presence""]","[""Absence of any signal related to chronic pain presence"", ""The turn contradicts or undermines chronic pain presence"", ""No other indicator for chronic pain presence is present""]",Strongly absent — turn actively contradicts or shows the opposite of chronic pain presence.,Mostly absent — only weak or indirect signals of chronic pain presence.,Neutral / mixed — evidence is ambiguous or chronic pain presence is not clearly applicable.,"Mostly present — turn clearly displays chronic pain presence, though not in extreme form.","Strongly present — chronic pain presence is pronounced, unambiguous, and central to the message.","[""chronicness"", ""chronicity"", ""chronicing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects chronic pain presence."", ""The conversation turn is dominated by chronic pain presence.""]","[""chronic"", ""pain"", ""presence"", ""chronicness"", ""chronicity"", ""chronicing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
